Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,SOD-323,-86,-45,180,bottom
D2,D,SOD-323,-102,-45,180,bottom
D3,D,SOD-323,-118,-45,180,bottom
D4,D,SOD-323,-134,-45,180,bottom
D5,D,SOD-323,-150,-45,180,bottom
D6,D,SOD-323,-166,-45,180,bottom
D7,D,SOD-323,-182,-45,180,bottom
D8,D,SOD-323,-198,-45,180,bottom
D9,D,SOD-323,-214,-45,180,bottom
D10,D,SOD-323,-230,-45,180,bottom
D11,D,SOD-323,-244,-52,180,bottom
D12,D,SOD-323,-86,-59,180,bottom
D13,D,SOD-323,-102,-59,180,bottom
D14,D,SOD-323,-118,-59,180,bottom
D15,D,SOD-323,-134,-59,180,bottom
D16,D,SOD-323,-150,-59,180,bottom
D17,D,SOD-323,-166,-59,180,bottom
D18,D,SOD-323,-182,-59,180,bottom
D19,D,SOD-323,-198,-59,180,bottom
D20,D,SOD-323,-214,-59,180,bottom
D21,D,SOD-323,-230,-59,180,bottom
D22,D,SOD-323,-244,-66,180,bottom
D23,D,SOD-323,-86,-73,180,bottom
D24,D,SOD-323,-102,-73,180,bottom
D25,D,SOD-323,-118,-73,180,bottom
D26,D,SOD-323,-134,-73,180,bottom
D27,D,SOD-323,-150,-73,180,bottom
D28,D,SOD-323,-166,-73,180,bottom
D29,D,SOD-323,-182,-73,180,bottom
D30,D,SOD-323,-198,-73,180,bottom
D31,D,SOD-323,-214,-73,180,bottom
D32,D,SOD-323,-230,-73,180,bottom
D33,D,SOD-323,-244,-80,180,bottom
D34,D,SOD-323,-86,-87,180,bottom
D35,D,SOD-323,-102,-87,180,bottom
D36,D,SOD-323,-118,-87,180,bottom
D37,D,SOD-323,-134,-87,180,bottom
D38,D,SOD-323,-150,-87,180,bottom
D39,D,SOD-323,-166,-87,180,bottom
D40,D,SOD-323,-182,-87,180,bottom
D41,D,SOD-323,-198,-87,180,bottom
D42,D,SOD-323,-214,-87,180,bottom
D43,D,SOD-323,-230,-87,180,bottom
D44,D,SOD-323,-244,-94,180,bottom
D45,D,SOD-323,-86,-101,180,bottom
D46,D,SOD-323,-102,-101,180,bottom
D47,D,SOD-323,-118,-101,180,bottom
D48,D,SOD-323,-134,-101,180,bottom
D49,D,SOD-323,-150,-101,180,bottom
D50,D,SOD-323,-166,-101,180,bottom
D51,D,SOD-323,-182,-101,180,bottom
D52,D,SOD-323,-198,-101,180,bottom
D53,D,SOD-323,-214,-101,180,bottom
D54,D,SOD-323,-230,-101,180,bottom
D55,D,SOD-323,-244,-108,180,bottom
D56,D,SOD-323,-86,-115,180,bottom
D57,D,SOD-323,-102,-115,180,bottom
D58,D,SOD-323,-118,-115,180,bottom
D59,D,SOD-323,-134,-115,180,bottom
D60,D,SOD-323,-150,-115,180,bottom
D61,D,SOD-323,-166,-115,180,bottom
D62,D,SOD-323,-182,-115,180,bottom
D63,D,SOD-323,-198,-115,180,bottom
D64,D,SOD-323,-214,-115,180,bottom
D65,D,SOD-323,-230,-115,180,bottom
D66,D,SOD-323,-244,-122,180,bottom
